,Time,variable,value
0,0,Variable A,0.0
1,1,Variable A,0.12533323356430426
2,2,Variable A,0.2486898871648548
3,3,Variable A,0.368124552684678
4,4,Variable A,0.4817536741017153
5,5,Variable A,0.5877852522924731
6,6,Variable A,0.6845471059286887
7,7,Variable A,0.7705132427757893
8,8,Variable A,0.8443279255020151
9,9,Variable A,0.9048270524660196
10,10,Variable A,0.9510565162951535
11,11,Variable A,0.9822872507286887
12,12,Variable A,0.9980267284282716
13,13,Variable A,0.9980267284282716
14,14,Variable A,0.9822872507286886
15,15,Variable A,0.9510565162951535
16,16,Variable A,0.9048270524660195
17,17,Variable A,0.844327925502015
18,18,Variable A,0.7705132427757893
19,19,Variable A,0.6845471059286885
20,20,Variable A,0.5877852522924732
21,21,Variable A,0.4817536741017152
22,22,Variable A,0.3681245526846777
23,23,Variable A,0.2486898871648548
24,24,Variable A,0.1253332335643041
25,25,Variable A,-3.216245299353273e-16
26,26,Variable A,-0.1253332335643043
27,27,Variable A,-0.24868988716485502
28,28,Variable A,-0.36812455268467836
29,29,Variable A,-0.4817536741017154
30,30,Variable A,-0.5877852522924734
31,31,Variable A,-0.6845471059286887
32,32,Variable A,-0.7705132427757894
33,33,Variable A,-0.8443279255020153
34,34,Variable A,-0.9048270524660198
35,35,Variable A,-0.9510565162951535
36,36,Variable A,-0.9822872507286887
37,37,Variable A,-0.9980267284282716
38,38,Variable A,-0.9980267284282716
39,39,Variable A,-0.9822872507286886
40,40,Variable A,-0.9510565162951536
41,41,Variable A,-0.9048270524660196
42,42,Variable A,-0.8443279255020151
43,43,Variable A,-0.770513242775789
44,44,Variable A,-0.6845471059286883
45,45,Variable A,-0.5877852522924726
46,46,Variable A,-0.4817536741017153
47,47,Variable A,-0.3681245526846778
48,48,Variable A,-0.2486898871648545
49,49,Variable A,-0.1253332335643038
50,50,Variable A,6.432490598706546e-16
51,51,Variable A,0.12533323356430418
52,52,Variable A,0.2486898871648549
53,53,Variable A,0.36812455268467825
54,54,Variable A,0.4817536741017157
55,55,Variable A,0.5877852522924737
56,56,Variable A,0.6845471059286893
57,57,Variable A,0.7705132427757893
58,58,Variable A,0.8443279255020152
59,59,Variable A,0.9048270524660197
60,60,Variable A,0.9510565162951538
61,61,Variable A,0.9822872507286888
62,62,Variable A,0.9980267284282716
63,63,Variable A,0.9980267284282716
64,64,Variable A,0.9822872507286886
65,65,Variable A,0.9510565162951536
66,66,Variable A,0.9048270524660192
67,67,Variable A,0.8443279255020151
68,68,Variable A,0.7705132427757886
69,69,Variable A,0.6845471059286884
70,70,Variable A,0.5877852522924734
71,71,Variable A,0.4817536741017146
72,72,Variable A,0.368124552684678
73,73,Variable A,0.24868988716485377
74,74,Variable A,0.1253332335643039
75,75,Variable A,3.6739403974420594e-16
76,76,Variable A,-0.12533323356430495
77,77,Variable A,-0.24868988716485474
78,78,Variable A,-0.3681245526846789
79,79,Variable A,-0.4817536741017156
80,80,Variable A,-0.5877852522924728
81,81,Variable A,-0.6845471059286892
82,82,Variable A,-0.7705132427757891
83,83,Variable A,-0.8443279255020156
84,84,Variable A,-0.9048270524660197
85,85,Variable A,-0.951056516295154
86,86,Variable A,-0.9822872507286888
87,87,Variable A,-0.9980267284282716
88,88,Variable A,-0.9980267284282714
89,89,Variable A,-0.9822872507286886
90,90,Variable A,-0.9510565162951532
91,91,Variable A,-0.9048270524660192
92,92,Variable A,-0.8443279255020152
93,93,Variable A,-0.7705132427757886
94,94,Variable A,-0.6845471059286885
95,95,Variable A,-0.587785252292472
96,96,Variable A,-0.4817536741017147
97,97,Variable A,-0.3681245526846781
98,98,Variable A,-0.24868988716485388
99,99,Variable A,-0.12533323356430404
100,100,Variable A,1.2864981197413093e-15
101,0,Variable B,-0.07875385688405435
102,1,Variable B,0.19180943310898152
103,2,Variable B,0.13033526013114966
104,3,Variable B,0.3388317979480818
105,4,Variable B,0.38181477757392873
106,5,Variable B,0.444330687060554
107,6,Variable B,0.7083430947091907
108,7,Variable B,0.877727522035925
109,8,Variable B,0.9474923769610558
110,9,Variable B,0.9771796626396121
111,10,Variable B,1.015500267425375
112,11,Variable B,0.9596642508897388
113,12,Variable B,0.9930112278647018
114,13,Variable B,1.1121621480593733
115,14,Variable B,0.8511322323340587
116,15,Variable B,0.8719016824975585
117,16,Variable B,0.7821089915377604
118,17,Variable B,0.8986709193518837
119,18,Variable B,0.7055409157259467
120,19,Variable B,0.7045059762167325
121,20,Variable B,0.7058646770078163
122,21,Variable B,0.38518243171772765
123,22,Variable B,0.22208704147466726
124,23,Variable B,0.2410990028400556
125,24,Variable B,0.16405514993083686
126,25,Variable B,-0.11349679800108922
127,26,Variable B,0.01847047813037847
128,27,Variable B,-0.39693305539157997
129,28,Variable B,-0.2985220597068283
130,29,Variable B,-0.35367999192974015
131,30,Variable B,-0.6362240599429763
132,31,Variable B,-0.5708830978889798
133,32,Variable B,-0.6946494099756731
134,33,Variable B,-0.8680587640262409
135,34,Variable B,-0.8536559635293631
136,35,Variable B,-0.8216053747685954
137,36,Variable B,-1.1017695780623549
138,37,Variable B,-1.0065366506814093
139,38,Variable B,-0.9618081594188286
140,39,Variable B,-1.1050284864555056
141,40,Variable B,-0.8826182953944537
142,41,Variable B,-0.995644728423132
143,42,Variable B,-0.947905963694262
144,43,Variable B,-0.6976515058444178
145,44,Variable B,-0.664151640504979
146,45,Variable B,-0.5682843580182749
147,46,Variable B,-0.3730016545429618
148,47,Variable B,-0.27845390150001914
149,48,Variable B,-0.19567272197263783
150,49,Variable B,0.006642151999696366
151,50,Variable B,0.1334604294609109
152,51,Variable B,-0.007566063688024177
153,52,Variable B,0.17060506090966876
154,53,Variable B,0.27725593699421847
155,54,Variable B,0.390031065010236
156,55,Variable B,0.4419605152289069
157,56,Variable B,0.8222055151774484
158,57,Variable B,0.8823019332969848
159,58,Variable B,0.7986661352094058
160,59,Variable B,0.8154308295666242
161,60,Variable B,0.8169358989647527
162,61,Variable B,1.0231033940285694
163,62,Variable B,0.9365845091774524
164,63,Variable B,1.0757223560378362
165,64,Variable B,1.0839763316812117
166,65,Variable B,1.0277656861893205
167,66,Variable B,0.8944964080374096
168,67,Variable B,0.9056068967743484
169,68,Variable B,0.8572952124260799
170,69,Variable B,0.6233438207796438
171,70,Variable B,0.5735513700854091
172,71,Variable B,0.4979224620385846
173,72,Variable B,0.2547896806224089
174,73,Variable B,0.209017190350472
175,74,Variable B,0.13324909037920785
176,75,Variable B,0.13439824566751676
177,76,Variable B,-0.043664033513373376
178,77,Variable B,-0.34919388970183285
179,78,Variable B,-0.37482407631790937
180,79,Variable B,-0.3411290128669776
181,80,Variable B,-0.6868827740139405
182,81,Variable B,-0.8176525151709546
183,82,Variable B,-0.6417145423992043
184,83,Variable B,-0.9656292873880141
185,84,Variable B,-0.8037004083769811
186,85,Variable B,-1.013607802675811
187,86,Variable B,-0.9617741409214284
188,87,Variable B,-0.9310294899521536
189,88,Variable B,-0.8898998707682302
190,89,Variable B,-0.8768942531244746
191,90,Variable B,-0.8486485142049273
192,91,Variable B,-0.764633957498521
193,92,Variable B,-0.9579885226771393
194,93,Variable B,-0.8469298399958692
195,94,Variable B,-0.81726043786249
196,95,Variable B,-0.6309502361948531
197,96,Variable B,-0.6187567455182839
198,97,Variable B,-0.31701694557581717
199,98,Variable B,-0.174074177415749
200,99,Variable B,0.009981823685108443
201,100,Variable B,0.1258576980021881
