,Time,variable,value
0,0,Variable A,5.131056760037097
1,1,Variable A,5.210937209536166
2,2,Variable A,5.6387908364016806
3,3,Variable A,5.966560833977323
4,4,Variable A,5.499729358153236
5,5,Variable A,5.263549075112044
6,6,Variable A,5.709901887016665
7,7,Variable A,5.373858396987153
8,8,Variable A,5.429858239422536
9,9,Variable A,5.355191644998951
10,10,Variable A,5.024947158061777
11,11,Variable A,5.14558262317268
12,12,Variable A,5.154215984789033
13,13,Variable A,5.2999386617472535
14,14,Variable A,5.705668203062712
15,15,Variable A,5.507698345948174
16,16,Variable A,6.005811153967615
17,17,Variable A,5.710013440733938
18,18,Variable A,5.265375252033714
19,19,Variable A,5.433357577178693
20,20,Variable A,5.79281135722535
21,21,Variable A,5.638712492900099
22,22,Variable A,5.875128305506899
23,23,Variable A,5.998092515593152
24,24,Variable A,6.283807848776856
25,25,Variable A,6.163509950143431
26,26,Variable A,6.33879546481114
27,27,Variable A,6.132521983113759
28,28,Variable A,6.569917710180415
29,29,Variable A,6.352329981055735
30,30,Variable A,6.765456818219455
31,31,Variable A,6.459503971015273
32,32,Variable A,6.60110442473716
33,33,Variable A,6.545818883747381
34,34,Variable A,6.889446273634567
35,35,Variable A,7.140764672676067
36,36,Variable A,6.758253633219068
37,37,Variable A,6.813574413089067
38,38,Variable A,6.763313276086625
39,39,Variable A,6.697776059280882
40,40,Variable A,6.96367198356094
41,41,Variable A,6.620687938104277
42,42,Variable A,6.603393440381157
43,43,Variable A,6.437071482468935
44,44,Variable A,6.699761760758385
45,45,Variable A,6.978699466389459
46,46,Variable A,6.575229613136871
47,47,Variable A,6.12377634165895
48,48,Variable A,5.733888302177923
49,49,Variable A,5.503832044691724
50,50,Variable A,5.816264535300731
51,51,Variable A,6.100355606372882
52,52,Variable A,5.605180668323233
53,53,Variable A,5.393473519219966
54,54,Variable A,5.276668360156544
55,55,Variable A,5.050722509266618
56,56,Variable A,4.710196537923261
57,57,Variable A,4.453745496187721
58,58,Variable A,4.726710253848393
59,59,Variable A,4.263788208633705
60,60,Variable A,4.350032273229683
61,61,Variable A,4.797111390578385
62,62,Variable A,4.534092672829402
63,63,Variable A,4.376547684562742
64,64,Variable A,4.765866000254059
65,65,Variable A,5.006787339970737
66,66,Variable A,5.407752264168649
67,67,Variable A,5.135941622505139
68,68,Variable A,4.96069131077954
69,69,Variable A,4.779656924320738
70,70,Variable A,4.807966452807329
71,71,Variable A,4.360530832787981
72,72,Variable A,4.232208819358775
73,73,Variable A,4.200522583693923
74,74,Variable A,4.439820050176527
75,75,Variable A,4.636910387069964
